1 8.94227
2 0.0284058
2 5.30124
4 0.0259888
4 31.0385
4 31.3975
4 32.3138
8 62.9692
8 63.5029
8 63.7388
8 63.9561
8 64.4797
8 64.6572
8 64.7989
8 64.9366
16 116.435
16 118.855
16 119.849
16 120.061
16 120.437
16 120.551
16 120.88
16 121.346
16 121.789
16 122.069
16 122.249
16 122.491
16 122.619
16 122.838
16 123.007
16 123.247
32 73.3639
32 100.518
32 106.169
32 135.04
32 156.826
32 170.378
32 170.462
32 190.236
32 204.856
32 212.515
32 225.677
32 232.12
32 239.383
32 243.545
32 245.357
32 254.302
32 255.411
32 255.7
32 257.556
32 257.571
32 257.58
32 257.753
32 257.853
32 258.397
32 258.714
32 258.933
32 259.698
32 259.763
32 259.92
32 260.197
32 260.267
32 260.962
